Date,Open,High,Low,Close,Adj Close,Volume
2019-08-02,966.000000,981.450012,959.900024,978.150024,950.681885,77068
2019-08-05,975.000000,981.650024,947.049988,969.750000,942.517761,76243
2019-08-06,948.500000,990.700012,948.500000,982.299988,954.715393,40173
2019-08-07,987.900024,1007.400024,984.400024,997.400024,969.391357,59210
2019-08-08,985.000000,1014.799988,985.000000,1002.750000,974.591125,48178
2019-08-09,1010.000000,1064.400024,1007.849976,1042.750000,1013.467834,68075
2019-08-13,1035.099976,1048.900024,981.000000,988.349976,960.595459,54191
2019-08-14,1007.000000,1053.550049,1007.000000,1040.750000,1011.524048,100209
2019-08-16,1038.000000,1060.800049,1019.000000,1032.650024,1003.651489,69267
2019-08-19,1032.650024,1059.000000,1028.750000,1039.900024,1010.697937,56616
2019-08-20,1060.000000,1075.300049,1020.500000,1028.900024,1000.006836,85628
2019-08-21,1048.000000,1048.000000,1004.000000,1012.900024,984.456055,49874
2019-08-22,1005.000000,1006.299988,981.299988,986.950012,959.234802,57479
2019-08-23,983.950012,1014.849976,955.500000,1010.400024,982.026245,81606
2019-08-26,1024.000000,1061.150024,1012.750000,1019.200012,990.579163,138978
2019-08-27,1031.750000,1031.750000,1009.049988,1018.700012,990.093140,65471
2019-08-28,1028.949951,1032.550049,980.450012,991.450012,963.608398,89873
2019-08-29,986.000000,999.049988,960.099976,967.400024,940.233765,76649
2019-08-30,973.349976,980.450012,942.700012,966.200012,939.067566,110781
2019-09-03,962.099976,974.950012,936.049988,963.099976,936.054504,56998
2019-09-04,961.650024,989.049988,946.799988,985.150024,957.485352,51870
2019-09-05,983.000000,999.000000,973.900024,979.950012,952.431396,32023
2019-09-06,979.950012,997.500000,978.250000,994.099976,966.183960,36081
2019-09-09,998.950012,1017.150024,986.000000,1011.700012,983.289795,53999
2019-09-11,1012.400024,1039.300049,1012.000000,1035.900024,1006.810181,70566
2019-09-12,1037.400024,1058.750000,1032.300049,1038.849976,1009.677307,55228
2019-09-13,1045.000000,1056.500000,1038.550049,1052.250000,1022.701050,49472
2019-09-16,1040.000000,1069.949951,1038.800049,1053.400024,1023.818665,22672
2019-09-17,1054.000000,1064.000000,1014.849976,1022.150024,993.446350,25733
2019-09-18,1027.050049,1042.000000,1023.950012,1037.099976,1007.976501,31017
2019-09-19,1045.000000,1045.000000,1026.150024,1035.099976,1006.032593,25968
2019-09-20,1040.000000,1154.099976,1015.000000,1143.949951,1111.825806,110781
2019-09-23,1149.599976,1199.449951,1149.599976,1167.300049,1134.520264,78239
2019-09-24,1164.000000,1170.650024,1131.300049,1165.400024,1132.673706,42733
2019-09-25,1160.000000,1160.000000,1101.000000,1114.800049,1083.494629,31651
2019-09-26,1119.000000,1132.349976,1096.800049,1103.449951,1072.463257,44094
2019-09-27,1103.000000,1117.199951,1087.800049,1094.949951,1064.201904,42801
2019-09-30,1115.000000,1115.000000,1056.599976,1070.300049,1040.244141,65725
2019-10-01,1075.000000,1090.550049,1026.949951,1044.300049,1014.974426,55822
2019-10-03,1058.800049,1058.900024,1011.000000,1032.150024,1003.165527,49131
2019-10-04,1039.949951,1040.650024,1012.750000,1018.049988,989.461426,37985
2019-10-07,1011.000000,1075.500000,1011.000000,1062.050049,1032.225952,45309
2019-10-09,1065.000000,1130.000000,1052.199951,1123.500000,1091.950195,65529
2019-10-10,1116.500000,1118.250000,1074.250000,1081.699951,1051.323975,41444
2019-10-11,1099.000000,1099.000000,1056.150024,1059.849976,1030.087646,24934
2019-10-14,1076.550049,1076.550049,1037.000000,1043.099976,1013.807922,32669
2019-10-15,1040.400024,1054.000000,1027.900024,1049.750000,1020.271179,45848
2019-10-16,1060.000000,1061.949951,1030.000000,1038.650024,1009.483032,31612
2019-10-17,1041.050049,1074.800049,1021.650024,1070.500000,1040.438477,26265
2019-10-18,1072.000000,1100.599976,1058.000000,1096.250000,1065.465454,35674
2019-10-22,1100.000000,1127.500000,1080.900024,1117.750000,1086.361816,40779
2019-10-23,1117.750000,1123.000000,1068.000000,1077.400024,1047.144897,43290
2019-10-24,1084.300049,1092.250000,1062.000000,1069.699951,1039.661011,25997
2019-10-25,1080.400024,1130.000000,1066.550049,1124.250000,1092.679199,47222
