Date,Close,Volume
06-09-2018,934.950012,2144816
07-09-2018,973.700012,3132025
10-09-2018,937.349976,2151834
11-09-2018,943.150024,3909701
12-09-2018,938.150024,2787531
14-09-2018,951.900024,2803861
17-09-2018,950.849976,1978897
18-09-2018,946.549988,2227889
19-09-2018,948.900024,2083160
21-09-2018,959.900024,4633394
24-09-2018,896.049988,4569708
25-09-2018,893.0,4269089
26-09-2018,893.349976,2357565
27-09-2018,877.450012,2588148
28-09-2018,860.950012,4188699
01-10-2018,847.599976,3060818
03-10-2018,791.599976,6680994
04-10-2018,794.700012,5036305
05-10-2018,769.549988,5157618
08-10-2018,774.849976,3874262
09-10-2018,764.799988,2933355
10-10-2018,764.099976,7578601
11-10-2018,730.150024,6199047
12-10-2018,768.5,4477653
15-10-2018,749.0,5282462
16-10-2018,777.700012,4357854
17-10-2018,759.400024,2634539
19-10-2018,741.200012,2985488
22-10-2018,733.75,1842855
23-10-2018,729.950012,2967082
24-10-2018,736.25,3729119
25-10-2018,733.75,3966709
26-10-2018,728.200012,1813847
29-10-2018,749.5,1954444
30-10-2018,746.299988,2756355
31-10-2018,765.950012,3093083
01-11-2018,756.049988,4171044
02-11-2018,783.549988,4117317
05-11-2018,775.450012,2168486
06-11-2018,778.400024,1839552
07-11-2018,792.900024,731279
09-11-2018,795.25,3085813
12-11-2018,780.900024,2101138
13-11-2018,790.049988,3010295
14-11-2018,769.599976,4237768
15-11-2018,766.5,4315301
16-11-2018,767.599976,2373384
19-11-2018,781.349976,2681651
20-11-2018,782.599976,2902880
21-11-2018,769.099976,1851514
22-11-2018,746.099976,2578750
26-11-2018,747.900024,2676798
27-11-2018,751.75,2179714
28-11-2018,748.400024,2007876
29-11-2018,773.200012,5038807
30-11-2018,790.900024,5214780
03-12-2018,761.049988,5839713
04-12-2018,740.299988,7101096
05-12-2018,718.049988,4837874
06-12-2018,710.950012,3970063
07-12-2018,721.099976,2716587
10-12-2018,710.549988,3150111
11-12-2018,722.349976,4383980
12-12-2018,750.799988,3460143
13-12-2018,759.200012,3510371
14-12-2018,757.25,1760631
17-12-2018,756.349976,2022203
18-12-2018,770.950012,3600834
19-12-2018,782.650024,3361238
20-12-2018,795.450012,2707144
21-12-2018,781.150024,6125095
24-12-2018,788.650024,2034516
26-12-2018,787.700012,1683700
27-12-2018,795.650024,3156130
28-12-2018,803.549988,1820270
31-12-2018,803.849976,2232551
01-01-2019,773.349976,3442903
02-01-2019,741.700012,10596260
03-01-2019,718.299988,11084172
04-01-2019,725.599976,5919404
07-01-2019,729.549988,2792255
08-01-2019,723.400024,4764487
09-01-2019,726.299988,2569424
10-01-2019,733.200012,2550750
11-01-2019,727.900024,2215240
14-01-2019,724.549988,1713221
15-01-2019,726.900024,2138402
16-01-2019,726.25,1288969
17-01-2019,734.650024,3318440
18-01-2019,734.950012,1601885
21-01-2019,730.299988,1341152
22-01-2019,708.5,5097285
23-01-2019,695.849976,4714919
24-01-2019,697.299988,3891245
25-01-2019,683.5,3421228
28-01-2019,673.049988,5762442
29-01-2019,669.650024,4860919
30-01-2019,678.650024,2738163
31-01-2019,680.049988,3496189
01-02-2019,688.400024,8005192
04-02-2019,674.450012,2652101
05-02-2019,684.900024,3550741
06-02-2019,695.099976,2221744
07-02-2019,700.900024,2710457
08-02-2019,682.099976,10858152
11-02-2019,647.549988,7931599
12-02-2019,648.700012,3357448
14-02-2019,634.400024,3530468
15-02-2019,627.549988,5765467
18-02-2019,624.700012,4750172
19-02-2019,632.599976,3526711
20-02-2019,633.549988,2369483
21-02-2019,634.200012,2813880
22-02-2019,646.599976,4053346
25-02-2019,650.700012,1863303
26-02-2019,651.299988,3862642
27-02-2019,656.150024,3193418
28-02-2019,645.900024,3955320
01-03-2019,649.700012,3957539
05-03-2019,656.75,6039244
06-03-2019,658.900024,7495708
07-03-2019,671.799988,8703088
08-03-2019,670.150024,3877059
11-03-2019,681.049988,4027884
12-03-2019,687.900024,3876498
13-03-2019,684.200012,1808059
14-03-2019,685.900024,1901877
15-03-2019,694.599976,5208071
18-03-2019,684.200012,2600716
19-03-2019,689.400024,2331409
20-03-2019,678.599976,2369729
22-03-2019,678.799988,2770303
25-03-2019,664.599976,2337486
